title,id,arxiv_url,published,summary,citations
Learn and Search: An Elegant Technique for Object Lookup using Contrastive Learning,2403.07231v1,http://arxiv.org/abs/2403.07231v1,2024-03-12 00:58:19+00:00,"The rapid proliferation of digital content and the ever-growing need for
precise object recognition and segmentation have driven the advancement of
cutting-edge techniques in the field of object classification and segmentation.
This paper introduces ""Learn and Search"", a novel approach for object lookup
that leverages the power of contrastive learning to enhance the efficiency and
effectiveness of retrieval systems.
  In this study, we present an elegant and innovative methodology that
integrates deep learning principles and contrastive learning to tackle the
challenges of object search. Our extensive experimentation reveals compelling
results, with ""Learn and Search"" achieving superior Similarity Grid Accuracy,
showcasing its efficacy in discerning regions of utmost similarity within an
image relative to a cropped image.
  The seamless fusion of deep learning and contrastive learning to address the
intricacies of object identification not only promises transformative
applications in image recognition, recommendation systems, and content tagging
but also revolutionizes content-based search and retrieval. The amalgamation of
these techniques, as exemplified by ""Learn and Search,"" represents a
significant stride in the ongoing evolution of methodologies in the dynamic
realm of object classification and segmentation.",0
Physics-constrained Active Learning for Soil Moisture Estimation and Optimal Sensor Placement,2403.07228v1,http://arxiv.org/abs/2403.07228v1,2024-03-12 00:45:34+00:00,"Soil moisture is a crucial hydrological state variable that has significant
importance to the global environment and agriculture. Precise monitoring of
soil moisture in crop fields is critical to reducing agricultural drought and
improving crop yield. In-situ soil moisture sensors, which are buried at
pre-determined depths and distributed across the field, are promising solutions
for monitoring soil moisture. However, high-density sensor deployment is
neither economically feasible nor practical. Thus, to achieve a higher spatial
resolution of soil moisture dynamics using a limited number of sensors, we
integrate a physics-based agro-hydrological model based on Richards' equation
in a physics-constrained deep learning framework to accurately predict soil
moisture dynamics in the soil's root zone. This approach ensures that soil
moisture estimates align well with sensor observations while obeying physical
laws at the same time. Furthermore, to strategically identify the locations for
sensor placement, we introduce a novel active learning framework that combines
space-filling design and physics residual-based sampling to maximize data
acquisition potential with limited sensors. Our numerical results demonstrate
that integrating Physics-constrained Deep Learning (P-DL) with an active
learning strategy within a unified framework--named the Physics-constrained
Active Learning (P-DAL) framework--significantly improves the predictive
accuracy and effectiveness of field-scale soil moisture monitoring using
in-situ sensors.",0
LookupFFN: Making Transformers Compute-lite for CPU inference,2403.07221v1,http://arxiv.org/abs/2403.07221v1,2024-03-12 00:26:16+00:00,"While GPU clusters are the de facto choice for training large deep neural
network (DNN) models today, several reasons including ease of workflow,
security and cost have led to efforts investigating whether CPUs may be viable
for inference in routine use in many sectors of the industry. But the imbalance
between the compute capabilities of GPUs and CPUs is huge. Motivated by these
considerations, we study a module which is a workhorse within modern DNN
architectures, GEMM based Feed Forward Networks (FFNs), and assess the extent
to which it can be made compute- (or FLOP-) lite. Specifically, we propose an
alternative formulation (we call it LookupFFN) to GEMM based FFNs inspired by
the recent studies of using Locality Sensitive Hashing (LSH) to approximate
FFNs. Our formulation recasts most essential operations as a memory look-up,
leveraging the trade-off between the two resources on any platform: compute and
memory (since CPUs offer it in abundance). For RoBERTa language model
pretraining, our formulation achieves similar performance compared to GEMM
based FFNs, while dramatically reducing the required FLOP. Our development is
complemented with a detailed hardware profiling of strategies that will
maximize efficiency -- not just on contemporary hardware but on products that
will be offered in the near/medium term future. Code is avaiable at
\url{https://github.com/mlpen/LookupFFN}.",0
SoK: Can Trajectory Generation Combine Privacy and Utility?,2403.07218v1,http://arxiv.org/abs/2403.07218v1,2024-03-12 00:25:14+00:00,"While location trajectories represent a valuable data source for analyses and
location-based services, they can reveal sensitive information, such as
political and religious preferences. Differentially private publication
mechanisms have been proposed to allow for analyses under rigorous privacy
guarantees. However, the traditional protection schemes suffer from a limiting
privacy-utility trade-off and are vulnerable to correlation and reconstruction
attacks. Synthetic trajectory data generation and release represent a promising
alternative to protection algorithms. While initial proposals achieve
remarkable utility, they fail to provide rigorous privacy guarantees. This
paper proposes a framework for designing a privacy-preserving trajectory
publication approach by defining five design goals, particularly stressing the
importance of choosing an appropriate Unit of Privacy. Based on this framework,
we briefly discuss the existing trajectory protection approaches, emphasising
their shortcomings. This work focuses on the systematisation of the
state-of-the-art generative models for trajectories in the context of the
proposed framework. We find that no existing solution satisfies all
requirements. Thus, we perform an experimental study evaluating the
applicability of six sequential generative models to the trajectory domain.
Finally, we conclude that a generative trajectory model providing semantic
guarantees remains an open research question and propose concrete next steps
for future research.",0
Adaptive Gain Scheduling using Reinforcement Learning for Quadcopter Control,2403.07216v1,http://arxiv.org/abs/2403.07216v1,2024-03-12 00:08:54+00:00,"The paper presents a technique using reinforcement learning (RL) to adapt the
control gains of a quadcopter controller. Specifically, we employed Proximal
Policy Optimization (PPO) to train a policy which adapts the gains of a
cascaded feedback controller in-flight. The primary goal of this controller is
to minimize tracking error while following a specified trajectory. The paper's
key objective is to analyze the effectiveness of the adaptive gain policy and
compare it to the performance of a static gain control algorithm, where the
Integral Squared Error and Integral Time Squared Error are used as metrics. The
results show that the adaptive gain scheme achieves over 40$\%$ decrease in
tracking error as compared to the static gain controller.",0
Tracking Dynamic Gaussian Density with a Theoretically Optimal Sliding Window Approach,2403.07207v1,http://arxiv.org/abs/2403.07207v1,2024-03-11 23:21:26+00:00,"Dynamic density estimation is ubiquitous in many applications, including
computer vision and signal processing. One popular method to tackle this
problem is the ""sliding window"" kernel density estimator. There exist various
implementations of this method that use heuristically defined weight sequences
for the observed data. The weight sequence, however, is a key aspect of the
estimator affecting the tracking performance significantly. In this work, we
study the exact mean integrated squared error (MISE) of ""sliding window""
Gaussian Kernel Density Estimators for evolving Gaussian densities. We provide
a principled guide for choosing the optimal weight sequence by theoretically
characterizing the exact MISE, which can be formulated as constrained quadratic
programming. We present empirical evidence with synthetic datasets to show that
our weighting scheme indeed improves the tracking performance compared to
heuristic approaches.",0
Stochastic Extragradient with Random Reshuffling: Improved Convergence for Variational Inequalities,2403.07148v1,http://arxiv.org/abs/2403.07148v1,2024-03-11 20:35:52+00:00,"The Stochastic Extragradient (SEG) method is one of the most popular
algorithms for solving finite-sum min-max optimization and variational
inequality problems (VIPs) appearing in various machine learning tasks.
However, existing convergence analyses of SEG focus on its with-replacement
variants, while practical implementations of the method randomly reshuffle
components and sequentially use them. Unlike the well-studied with-replacement
variants, SEG with Random Reshuffling (SEG-RR) lacks established theoretical
guarantees. In this work, we provide a convergence analysis of SEG-RR for three
classes of VIPs: (i) strongly monotone, (ii) affine, and (iii) monotone. We
derive conditions under which SEG-RR achieves a faster convergence rate than
the uniform with-replacement sampling SEG. In the monotone setting, our
analysis of SEG-RR guarantees convergence to an arbitrary accuracy without
large batch sizes, a strong requirement needed in the classical
with-replacement SEG. As a byproduct of our results, we provide convergence
guarantees for Shuffle Once SEG (shuffles the data only at the beginning of the
algorithm) and the Incremental Extragradient (does not shuffle the data). We
supplement our analysis with experiments validating empirically the superior
performance of SEG-RR over the classical with-replacement sampling SEG.",0
How to Handle Sketch-Abstraction in Sketch-Based Image Retrieval?,2403.07203v1,http://arxiv.org/abs/2403.07203v1,2024-03-11 23:08:29+00:00,"In this paper, we propose a novel abstraction-aware sketch-based image
retrieval framework capable of handling sketch abstraction at varied levels.
Prior works had mainly focused on tackling sub-factors such as drawing style
and order, we instead attempt to model abstraction as a whole, and propose
feature-level and retrieval granularity-level designs so that the system builds
into its DNA the necessary means to interpret abstraction. On learning
abstraction-aware features, we for the first-time harness the rich semantic
embedding of pre-trained StyleGAN model, together with a novel
abstraction-level mapper that deciphers the level of abstraction and
dynamically selects appropriate dimensions in the feature matrix
correspondingly, to construct a feature matrix embedding that can be freely
traversed to accommodate different levels of abstraction. For granularity-level
abstraction understanding, we dictate that the retrieval model should not treat
all abstraction-levels equally and introduce a differentiable surrogate Acc.@q
loss to inject that understanding into the system. Different to the
gold-standard triplet loss, our Acc.@q loss uniquely allows a sketch to
narrow/broaden its focus in terms of how stringent the evaluation should be -
the more abstract a sketch, the less stringent (higher $q$). Extensive
experiments depict our method to outperform existing state-of-the-arts in
standard SBIR tasks along with challenging scenarios like early retrieval,
forensic sketch-photo matching, and style-invariant retrieval.",0
A multi-cohort study on prediction of acute brain dysfunction states using selective state space models,2403.07201v1,http://arxiv.org/abs/2403.07201v1,2024-03-11 22:58:11+00:00,"Assessing acute brain dysfunction (ABD), including delirium and coma in the
intensive care unit (ICU), is a critical challenge due to its prevalence and
severe implications for patient outcomes. Current diagnostic methods rely on
infrequent clinical observations, which can only determine a patient's ABD
status after onset. Our research attempts to solve these problems by harnessing
Electronic Health Records (EHR) data to develop automated methods for ABD
prediction for patients in the ICU. Existing models solely predict a single
state (e.g., either delirium or coma), require at least 24 hours of observation
data to make predictions, do not dynamically predict fluctuating ABD conditions
during ICU stay (typically a one-time prediction), and use small sample size,
proprietary single-hospital datasets. Our research fills these gaps in the
existing literature by dynamically predicting delirium, coma, and mortality for
12-hour intervals throughout an ICU stay and validating on two public datasets.
Our research also introduces the concept of dynamically predicting critical
transitions from non-ABD to ABD and between different ABD states in real time,
which could be clinically more informative for the hospital staff. We compared
the predictive performance of two state-of-the-art neural network models, the
MAMBA selective state space model and the Longformer Transformer model. Using
the MAMBA model, we achieved a mean area under the receiving operator
characteristic curve (AUROC) of 0.95 on outcome prediction of ABD for 12-hour
intervals. The model achieves a mean AUROC of 0.79 when predicting transitions
between ABD states. Our study uses a curated dataset from the University of
Florida Health Shands Hospital for internal validation and two publicly
available datasets, MIMIC-IV and eICU, for external validation, demonstrating
robustness across ICU stays from 203 hospitals and 140,945 patients.",0
Accelerating Interface Adaptation with User-Friendly Priors,2403.07192v1,http://arxiv.org/abs/2403.07192v1,2024-03-11 22:26:45+00:00,"Robots often need to convey information to human users. For example, robots
can leverage visual, auditory, and haptic interfaces to display their intent or
express their internal state. In some scenarios there are socially agreed upon
conventions for what these signals mean: e.g., a red light indicates an
autonomous car is slowing down. But as robots develop new capabilities and seek
to convey more complex data, the meaning behind their signals is not always
mutually understood: one user might think a flashing light indicates the
autonomous car is an aggressive driver, while another user might think the same
signal means the autonomous car is defensive. In this paper we enable robots to
adapt their interfaces to the current user so that the human's personalized
interpretation is aligned with the robot's meaning. We start with an
information theoretic end-to-end approach, which automatically tunes the
interface policy to optimize the correlation between human and robot. But to
ensure that this learning policy is intuitive -- and to accelerate how quickly
the interface adapts to the human -- we recognize that humans have priors over
how interfaces should function. For instance, humans expect interface signals
to be proportional and convex. Our approach biases the robot's interface
towards these priors, resulting in signals that are adapted to the current user
while still following social expectations. Our simulations and user study
results across $15$ participants suggest that these priors improve
robot-to-human communication. See videos here: https://youtu.be/Re3OLg57hp8",0
"$\mathbf{(N,K)}$-Puzzle: A Cost-Efficient Testbed for Benchmarking Reinforcement Learning Algorithms in Generative Language Model",2403.07191v1,http://arxiv.org/abs/2403.07191v1,2024-03-11 22:24:14+00:00,"Recent advances in reinforcement learning (RL) algorithms aim to enhance the
performance of language models at scale. Yet, there is a noticeable absence of
a cost-effective and standardized testbed tailored to evaluating and comparing
these algorithms. To bridge this gap, we present a generalized version of the
24-Puzzle: the $(N,K)$-Puzzle, which challenges language models to reach a
target value $K$ with $N$ integers. We evaluate the effectiveness of
established RL algorithms such as Proximal Policy Optimization (PPO), alongside
novel approaches like Identity Policy Optimization (IPO) and Direct Policy
Optimization (DPO).",0
Exploring gender differences in the Force Concept Inventory using a random effects meta-analysis of international studies,2403.07190v1,http://arxiv.org/abs/2403.07190v1,2024-03-11 22:23:20+00:00,"The force concept inventory (FCI) is one of the research-based assessments
(RBAs) established by the physics education research (PER) community to measure
students' understanding of Newtonian mechanics. Former works have often
recorded the notion of gendered mean FCI scores favoring male students notably
in the North America (NA) based studies. Nevertheless, these performance gaps
remain inconclusive and unexplored outside the NA context. This paper aims to
fill this gap by meta-analyzing the mean FCI scores between gender based on the
existing PER literature beyond the NA context. We analyzed the magnitude and
direction on the mean FCI scores between gender on the basis of primary
international studies published over the last two decades. We also explored the
moderating impact of international study characteristics on the meta-analytic
findings by performing a subgroup analysis to study the different study regions
stratified by two subgroups (NA vs non-NA authors). Thirty-eight studies
reporting the mean FCI scores by gender were included in the present
meta-analysis. We employed Hedges' g statistic to estimate to what degree the
mean FCI scores may be different between male and female students on each
study. Under a random effects model, we meta-analyzed the findings and
conducted a subgroup analysis to answer the research questions. In summary, our
meta-analysis indicated a significantly positive and moderate amount of
gendered mean FCI scores in favor of male students both in NA- and non-NA based
regions, and the performance gaps were wider in the NA-based studies.
Suggestions are discussed for promoting gender fairness in the FCI when
interpreting its scores for teaching, learning, and forthcoming studies.",0
UPS: Towards Foundation Models for PDE Solving via Cross-Modal Adaptation,2403.07187v1,http://arxiv.org/abs/2403.07187v1,2024-03-11 22:00:39+00:00,"We introduce UPS (Unified PDE Solver), an effective and data-efficient
approach to solve diverse spatiotemporal PDEs defined over various domains,
dimensions, and resolutions. UPS unifies different PDEs into a consistent
representation space and processes diverse collections of PDE data using a
unified network architecture that combines LLMs with domain-specific neural
operators. We train the network via a two-stage cross-modal adaptation process,
leveraging ideas of modality alignment and multi-task learning. By adapting
from pretrained LLMs and exploiting text-form meta information, we are able to
use considerably fewer training samples than previous methods while obtaining
strong empirical results. UPS outperforms existing baselines, often by a large
margin, on a wide range of 1D and 2D datasets in PDEBench, achieving
state-of-the-art results on 8 of 10 tasks considered. Meanwhile, it is capable
of few-shot transfer to different PDE families, coefficients, and resolutions.",0
Uncertainty in Graph Neural Networks: A Survey,2403.07185v1,http://arxiv.org/abs/2403.07185v1,2024-03-11 21:54:52+00:00,"Graph Neural Networks (GNNs) have been extensively used in various real-world
applications. However, the predictive uncertainty of GNNs stemming from diverse
sources such as inherent randomness in data and model training errors can lead
to unstable and erroneous predictions. Therefore, identifying, quantifying, and
utilizing uncertainty are essential to enhance the performance of the model for
the downstream tasks as well as the reliability of the GNN predictions. This
survey aims to provide a comprehensive overview of the GNNs from the
perspective of uncertainty with an emphasis on its integration in graph
learning. We compare and summarize existing graph uncertainty theory and
methods, alongside the corresponding downstream tasks. Thereby, we bridge the
gap between theory and practice, meanwhile connecting different GNN
communities. Moreover, our work provides valuable insights into promising
directions in this field.",0
Monitoring AI-Modified Content at Scale: A Case Study on the Impact of ChatGPT on AI Conference Peer Reviews,2403.07183v1,http://arxiv.org/abs/2403.07183v1,2024-03-11 21:51:39+00:00,"We present an approach for estimating the fraction of text in a large corpus
which is likely to be substantially modified or produced by a large language
model (LLM). Our maximum likelihood model leverages expert-written and
AI-generated reference texts to accurately and efficiently examine real-world
LLM-use at the corpus level. We apply this approach to a case study of
scientific peer review in AI conferences that took place after the release of
ChatGPT: ICLR 2024, NeurIPS 2023, CoRL 2023 and EMNLP 2023. Our results suggest
that between 6.5% and 16.9% of text submitted as peer reviews to these
conferences could have been substantially modified by LLMs, i.e. beyond
spell-checking or minor writing updates. The circumstances in which generated
text occurs offer insight into user behavior: the estimated fraction of
LLM-generated text is higher in reviews which report lower confidence, were
submitted close to the deadline, and from reviewers who are less likely to
respond to author rebuttals. We also observe corpus-level trends in generated
text which may be too subtle to detect at the individual level, and discuss the
implications of such trends on peer review. We call for future
interdisciplinary work to examine how LLM use is changing our information and
knowledge practices.",0
MAP-Elites with Transverse Assessment for Multimodal Problems in Creative Domains,2403.07182v1,http://arxiv.org/abs/2403.07182v1,2024-03-11 21:50:22+00:00,"The recent advances in language-based generative models have paved the way
for the orchestration of multiple generators of different artefact types (text,
image, audio, etc.) into one system. Presently, many open-source pre-trained
models combine text with other modalities, thus enabling shared vector
embeddings to be compared across different generators. Within this context we
propose a novel approach to handle multimodal creative tasks using Quality
Diversity evolution. Our contribution is a variation of the MAP-Elites
algorithm, MAP-Elites with Transverse Assessment (MEliTA), which is tailored
for multimodal creative tasks and leverages deep learned models that assess
coherence across modalities. MEliTA decouples the artefacts' modalities and
promotes cross-pollination between elites. As a test bed for this algorithm, we
generate text descriptions and cover images for a hypothetical video game and
assign each artefact a unique modality-specific behavioural characteristic.
Results indicate that MEliTA can improve text-to-image mappings within the
solution space, compared to a baseline MAP-Elites algorithm that strictly
treats each image-text pair as one solution. Our approach represents a
significant step forward in multimodal bottom-up orchestration and lays the
groundwork for more complex systems coordinating multimodal creative agents in
the future.",0
Study of the Impact of the Big Data Era on Accounting and Auditing,2403.07180v1,http://arxiv.org/abs/2403.07180v1,2024-03-11 21:45:48+00:00,"Big data revolutionizes accounting and auditing, offering deep insights but
also introducing challenges like data privacy and security. With data from IoT,
social media, and transactions, traditional practices are evolving.
Professionals must adapt to these changes, utilizing AI and machine learning
for efficient data analysis and anomaly detection. Key to overcoming these
challenges are enhanced analytics tools, continuous learning, and industry
collaboration. By addressing these areas, the accounting and auditing fields
can harness big data's potential while ensuring accuracy, transparency, and
integrity in financial reporting. Keywords: Big Data, Accounting, Audit, Data
Privacy, AI, Machine Learning, Transparency.",0
